"x","y","clst"
1533,1123,2
1533,1124,2
1532,1124,2
1532,1125,2
1532,1126,2
1531,1126,2
1531,1127,2
1531,1128,2
1531,1129,2
1530,1129,2
1530,1130,2
1530,1131,2
1529,1131,2
1529,1132,2
1529,1133,2
1528,1133,2
1528,1134,2
1528,1135,2
1528,1136,2
1527,1136,2
1527,1137,2
1527,1138,2
1526,1138,2
1526,1139,2
1526,1140,2
1525,1140,2
1525,1141,2
1525,1142,2
1524,1142,2
1524,1143,2
1524,1144,2
1523,1145,2
1523,1146,2
1523,1147,2
1522,1147,2
1522,1148,2
1522,1149,2
1521,1149,2
1521,1150,2
1521,1151,2
1520,1151,2
1520,1152,2
1520,1153,2
1519,1153,2
1519,1154,2
1519,1155,2
1518,1155,2
1518,1156,2
1518,1157,2
1517,1157,2
1517,1158,2
1517,1159,2
1516,1159,2
1516,1160,2
1516,1161,2
1515,1161,2
1515,1162,2
1515,1163,2
1514,1163,2
1514,1164,2
1513,1165,2
1513,1166,2
1512,1166,2
1512,1167,2
1512,1168,2
1511,1168,2
1511,1169,2
1511,1170,2
1510,1170,2
1510,1171,2
1510,1172,2
1509,1172,2
1509,1173,2
1509,1174,2
1508,1174,2
1508,1175,2
1507,1175,2
1507,1176,2
1507,1177,2
1506,1177,2
1506,1178,2
1506,1179,2
1505,1179,2
1505,1180,2
1505,1181,2
1504,1181,2
1504,1182,2
1503,1182,2
1503,1183,2
1503,1184,2
1502,1184,2
1502,1185,2
1502,1186,2
1501,1186,2
1501,1187,2
1500,1187,2
1500,1188,2
1500,1189,2
1499,1189,2
1499,1190,2
1499,1191,2
1498,1191,2
1498,1192,2
1497,1193,2
1497,1194,2
1496,1194,2
1496,1195,2
1496,1196,2
1495,1196,2
1495,1197,2
1494,1198,2
1494,1199,2
1493,1199,2
1493,1200,2
1493,1201,2
1492,1201,2
1492,1202,2
1491,1202,2
1491,1203,2
1491,1204,2
1490,1204,2
1490,1205,2
1490,1206,2
1489,1206,2
1489,1207,2
1488,1207,2
1488,1208,2
1488,1209,2
1487,1209,2
1487,1210,2
1487,1211,2
1486,1211,2
1486,1212,2
1485,1212,2
1485,1213,2
1485,1214,2
1484,1214,2
1484,1215,2
1484,1216,2
1483,1216,2
1483,1217,2
1482,1217,2
1482,1218,2
1482,1219,2
1481,1219,2
1481,1220,2
1481,1221,2
1480,1221,2
1480,1222,2
1479,1222,2
1479,1223,2
1479,1224,2
1478,1224,2
1478,1225,2
1478,1226,2
1477,1226,2
1477,1227,2
1476,1228,2
1476,1229,2
1475,1229,2
1475,1230,2
1475,1231,2
1474,1231,2
1474,1232,2
1474,1233,2
1473,1233,2
1473,1234,2
1472,1235,2
1472,1236,2
1471,1236,2
1471,1237,2
1471,1238,2
1470,1238,2
1470,1239,2
