"x","y","clst"
2177,2663,2
2177,2664,2
2176,2664,2
2175,2664,2
2174,2665,2
2173,2665,2
2172,2665,2
2172,2666,2
2171,2666,2
2170,2666,2
2170,2667,2
2169,2667,2
2168,2667,2
2168,2668,2
2167,2668,2
2166,2668,2
2165,2669,2
2164,2669,2
2163,2669,2
2163,2670,2
2162,2670,2
2161,2670,2
2161,2671,2
2160,2671,2
2159,2671,2
2159,2672,2
2158,2672,2
2157,2672,2
2156,2672,2
2156,2673,2
2155,2673,2
2154,2673,2
2154,2674,2
2153,2674,2
2152,2674,2
2152,2675,2
2151,2675,2
2150,2675,2
2150,2676,2
2149,2676,2
2148,2676,2
2147,2676,2
2147,2677,2
2146,2677,2
2145,2677,2
2145,2678,2
2144,2678,2
2143,2678,2
2143,2679,2
2142,2679,2
2141,2679,2
2140,2680,2
2139,2680,2
2138,2680,2
2138,2681,2
2137,2681,2
2136,2681,2
2136,2682,2
2135,2682,2
2134,2682,2
2134,2683,2
2133,2683,2
2132,2683,2
2131,2683,2
2131,2684,2
2130,2684,2
2129,2684,2
2129,2685,2
2128,2685,2
2127,2685,2
2127,2686,2
2126,2686,2
2125,2686,2
2124,2686,2
2124,2687,2
2123,2687,2
2122,2687,2
2122,2688,2
2121,2688,2
2120,2688,2
2120,2689,2
2119,2689,2
2118,2689,2
2117,2689,2
2117,2690,2
2116,2690,2
2115,2690,2
2115,2691,2
2114,2691,2
2113,2691,2
2113,2692,2
2112,2692,2
2111,2692,2
2110,2692,2
2110,2693,2
2109,2693,2
2108,2693,2
2108,2694,2
2107,2694,2
2106,2694,2
2105,2694,2
2105,2695,2
2104,2695,2
2103,2695,2
2103,2696,2
2102,2696,2
2101,2696,2
2100,2696,2
2100,2697,2
2099,2697,2
2098,2697,2
2098,2698,2
2097,2698,2
2096,2698,2
2095,2698,2
2095,2699,2
2094,2699,2
2093,2699,2
2093,2700,2
2092,2700,2
2091,2700,2
2090,2700,2
2090,2701,2
2089,2701,2
2088,2701,2
2087,2702,2
2086,2702,2
2085,2702,2
2085,2703,2
2084,2703,2
2083,2703,2
2082,2703,2
2082,2704,2
2081,2704,2
2080,2704,2
2079,2704,2
2079,2705,2
2078,2705,2
2077,2705,2
2077,2706,2
2076,2706,2
2075,2706,2
2074,2706,2
2074,2707,2
2073,2707,2
2072,2707,2
2071,2707,2
2071,2708,2
2070,2708,2
2069,2708,2
2068,2708,2
2068,2709,2
2067,2709,2
